20260616 215800;30445.75;30449.75;30445.50;30446.75;115
20260616 215900;30447.50;30448.00;30443.50;30444.75;40
20260616 220000;30444.75;30448.00;30443.00;30446.25;82
20260616 220100;30447.25;30447.50;30439.75;30443.25;94
20260616 220200;30442.00;30448.00;30442.00;30446.00;60
20260616 220300;30446.25;30447.25;30443.25;30446.50;28
20260616 220400;30446.50;30448.25;30442.50;30443.00;49
20260616 220500;30443.50;30446.25;30440.75;30442.00;42
20260616 220600;30442.75;30444.00;30440.25;30443.00;54
20260616 220700;30442.50;30444.25;30441.50;30442.50;30
20260616 220800;30443.50;30445.50;30442.50;30443.50;32
20260616 220900;30442.25;30450.00;30437.50;30449.00;351
20260616 221000;30449.25;30450.00;30445.00;30446.50;86
20260616 221100;30445.25;30447.75;30443.75;30444.00;60
20260616 221200;30444.25;30453.00;30444.25;30450.00;172
20260616 221300;30449.75;30452.75;30447.75;30448.75;57
20260616 221400;30448.75;30452.25;30447.75;30452.25;78
20260616 221500;30452.25;30456.25;30452.25;30455.00;92
20260616 221600;30455.50;30455.50;30443.00;30443.25;157
20260616 221700;30443.50;30450.25;30443.50;30445.00;59
20260616 221800;30445.00;30453.75;30445.00;30452.50;80
20260616 221900;30450.75;30453.50;30449.75;30450.00;53
20260616 222000;30449.75;30451.00;30446.75;30446.75;39
20260616 222100;30447.25;30454.25;30447.25;30453.50;26
20260616 222200;30454.25;30456.50;30453.50;30455.25;60
20260616 222300;30455.50;30460.00;30455.50;30458.75;74
20260616 222400;30458.50;30460.00;30457.75;30460.00;50
20260616 222500;30459.50;30459.50;30456.50;30459.00;46
20260616 222600;30457.25;30459.75;30457.25;30458.75;35
20260616 222700;30458.50;30462.25;30458.00;30460.50;67
20260616 222800;30460.00;30463.00;30459.25;30460.50;57
20260616 222900;30461.25;30462.75;30457.75;30460.25;55
20260616 223000;30458.25;30458.25;30449.50;30451.50;97
20260616 223100;30451.75;30453.50;30447.50;30448.00;64
20260616 223200;30448.00;30453.25;30447.25;30452.00;108
20260616 223300;30451.75;30451.75;30442.50;30446.75;60
20260616 223400;30446.00;30446.75;30443.25;30444.25;48
20260616 223500;30443.50;30445.25;30439.25;30442.00;100
20260616 223600;30442.00;30443.50;30438.00;30439.00;112
20260616 223700;30438.75;30446.50;30438.50;30445.75;46
20260616 223800;30445.25;30445.25;30442.75;30443.00;23
20260616 223900;30443.00;30443.00;30440.25;30441.25;38
20260616 224000;30440.75;30440.75;30433.75;30435.25;78
20260616 224100;30436.00;30442.75;30435.75;30442.25;64
20260616 224200;30443.50;30445.75;30442.25;30445.75;52
20260616 224300;30444.50;30449.75;30442.00;30444.50;61
20260616 224400;30444.50;30448.50;30444.25;30446.75;30
20260616 224500;30447.00;30451.75;30445.25;30451.50;57
20260616 224600;30452.00;30452.00;30444.50;30448.00;57
20260616 224700;30448.50;30453.25;30446.50;30452.00;87
20260616 224800;30450.75;30452.00;30443.00;30444.25;54
20260616 224900;30444.50;30445.25;30436.25;30436.75;46
20260616 225000;30436.75;30441.75;30436.75;30441.75;45
20260616 225100;30441.75;30443.50;30438.00;30438.25;34
20260616 225200;30437.50;30438.25;30432.50;30436.25;88
20260616 225300;30436.25;30438.25;30435.00;30436.50;42
20260616 225400;30437.75;30440.00;30435.50;30439.00;29
20260616 225500;30439.25;30439.25;30434.75;30436.50;41
20260616 225600;30436.50;30443.25;30436.50;30443.00;44
20260616 225700;30443.25;30446.75;30442.00;30445.50;56
20260616 225800;30446.00;30447.00;30443.75;30445.00;25
20260616 225900;30445.25;30447.25;30445.00;30447.25;21
20260616 230000;30446.50;30446.50;30439.50;30440.25;41
20260616 230100;30441.00;30446.00;30438.00;30446.00;32
20260616 230200;30444.25;30448.00;30443.75;30448.00;46
20260616 230300;30447.75;30452.25;30446.00;30446.50;95
